"","county","industry","medium","injury_type","injury_date","death","injuries"
"543","台南市","製造業","開口部分","墜落、滾落",2017-09-08,1,0
"544","台南市","營造業","梯子等","墜落、滾落",2017-09-09,1,0
"545","花蓮縣","營造業","開口部分","墜落、滾落",2017-09-10,1,0
"546","宜蘭縣","營造業","土砂、岩石","物體倒塌、崩塌",2017-09-11,1,0
"547","新北市","批發及零售業","開口部分","墜落、滾落",2017-09-14,1,0
"548","彰化縣","營造業","營建物","墜落、滾落",2017-09-15,1,0
"549","苗栗縣","營造業","屋頂、屋架、樑","墜落、滾落",2017-09-16,1,0
"550","新北市","營造業","開口部分","墜落、滾落",2017-09-18,1,0
"551","高雄市","營造業","開口部分","墜落、滾落",2017-09-21,1,0
"552","新竹縣","製造業","機器","被夾、被捲",2017-09-22,1,0
"553","苗栗縣","製造業","電焊機","感電",2017-09-22,1,0
"554","台南市","批發及零售業","屋頂、屋架、樑","墜落、滾落",2017-09-22,1,0
"555","屏東縣","營造業","無媒介物","無法歸類者",2017-09-23,1,0
"556","新北市","運輸及倉儲業","貨車","物體倒塌、崩塌",2017-09-23,1,0
"557","新竹縣","營造業","支撐架","墜落、滾落",2017-09-26,1,0
"558","桃園市","不動產業","營建物","物體倒塌、崩塌",2017-09-28,1,2
"559","新北市","運輸及倉儲業","堆高機","墜落、滾落",2017-09-28,1,0
"560","台中市","批發及零售業","其他","被夾、被捲",2017-09-28,1,0
"561","新北市","營造業","施工架","墜落、滾落",2017-09-29,1,0
"562","南投縣","製造業","屋頂、屋架、樑","墜落、滾落",2017-10-02,1,0
"563","桃園市","營造業","其他","感電",2017-10-05,1,0
"564","新竹縣","營造業","施工架","墜落、滾落",2017-10-06,1,0
"565","新北市","營造業","高空工作車","墜落、滾落",2017-10-07,1,0
"566","台北市","專業、科學及技術服務業","屋頂、屋架、樑","墜落、滾落",2017-10-10,1,0
"567","台南市","製造業","開口部分","墜落、滾落",2017-10-11,1,0
"568","雲林縣","製造業","屋頂、屋架、樑","墜落、滾落",2017-10-12,1,0
"569","台南市","製造業","其他","被夾、被捲",2017-10-12,1,0
"570","台中市","營造業","模板","物體飛落",2017-10-12,1,2
"571","台南市","製造業","廢水大桶","溺斃",2017-10-14,2,0
"572","新北市","營造業","開口部分","墜落、滾落",2017-10-15,1,0
